Thread  	Address                 	Instruction                     	Result                                  	
000022D8	libc.so.6:unk_F7D78230  	sub     eax, 1                  	EAX=099F51A3 ZF=0                       	
000022D8	libc.so.6:_IO_sputbackc+63	mov     [esi+4], eax            	                                        	
000022D8	libc.so.6:_IO_sputbackc+66	movzx   eax, bl                 	EAX=0000000A                            	
000022D8	libc.so.6:_IO_sputbackc+69	jmp     short near ptr unk_F7D78228	                                        	
000022D8	libc.so.6:unk_F7D78228  	and     dword ptr [esi], 0FFFFFFEFh	SF=1                                    	
000022D8	libc.so.6:_IO_sputbackc+5B	pop     ebx                     	EBX=FF9AB342 ESP=FF9AACB4               	
000022D8	libc.so.6:_IO_sputbackc+5C	pop     esi                     	ESI=00000003 ESP=FF9AACB8               	
000022D8	libc.so.6:_IO_sputbackc+5D	pop     edi                     	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc+5E	retn                            	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+4E8C 	add     esp, 10h                	ESP=FF9AACD0 PF=0                       	
000022D8	libc.so.6:psiginfo+4E8F 	jmp     loc_F7D535F5            	                                        	
000022D8	libc.so.6:loc_F7D535F5  	test    edi, edi                	PF=1 ZF=1 SF=0                          	
000022D8	libc.so.6:psiginfo+2797 	jnz     loc_F7D52D6A            	                                        	
000022D8	libc.so.6:psiginfo+279D 	mov     eax, [ebp-608h]         	EAX=FF9AB342                            	
000022D8	libc.so.6:psiginfo+27A3 	mov     byte ptr [eax], 0       	                                        	
000022D8	libc.so.6:psiginfo+27A6 	lea     edi, [eax+1]            	EDI=FF9AB343                            	
000022D8	libc.so.6:psiginfo+27A9 	test    dword ptr [ebp-5E0h], 2100h	                                        	
000022D8	libc.so.6:psiginfo+27B3 	jz      short loc_F7D53648      	                                        	
000022D8	libc.so.6:loc_F7D53648  	add     dword ptr [ebp-5D0h], 1 	PF=0 ZF=0                               	
000022D8	libc.so.6:psiginfo+27EF 	mov     ebx, [ebp-57Ch]         	EBX=08048774                            	
000022D8	libc.so.6:psiginfo+27F5 	mov     dword ptr [ebp-5ACh], 0 	                                        	
000022D8	libc.so.6:psiginfo+27FF 	mov     [ebp-608h], edi         	                                        	
000022D8	libc.so.6:psiginfo+2805 	mov     dword ptr [ebp-5DCh], 0 	                                        	
